Period Ending:,"LTM 
  (Last Twelve Months) ","2024
  12-31 ","2023
  12-31 ","2022
  12-31 ","2021
  12-31 ","2020
  12-31 ","2019
  12-31 ","2018
  12-31 ","2017
  12-31 ","2016
  12-31 ","2015
  12-31 ","2014
  12-31 ","2013
  12-31 ","2012
  12-31 ","2011
  12-31 ","2010
  12-31 ","2009
  12-31 ","2008
  12-31 ","2007
  12-31 "
returnOnInvestedCapital,30.83%,30.83%,24.74%,18.76%,30.35%,22.64%,21.76%,27.05%,21.51%,19.07%,8.71%,8.68%,11.81%,0.49%,26.43%,76.03%,0.00%,0.00%,0.00%
Turnover Ratios,,,,,,,,,,,,,,,,,,,
receivablesTurnover,9.68,9.680,8.343,8.660,8.400,7.584,7.428,7.360,6.971,6.922,7.006,7.429,7.098,4.350,6.784,5.292,0.000,0.000,0.000
payablesTurnover,3.924,3.924,5.353,5.060,5.547,12.54,9.369,11.41,14.35,12.55,14.63,12.23,21.55,20.98,13.65,17.00,0.000,0.000,0.000
inventoryTurnover,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
fixedAssetTurnover,1.207,1.207,1.228,1.265,1.686,1.564,1.579,2.262,2.963,3.217,3.152,3.142,2.731,2.128,2.516,3.439,0.000,0.000,0.000
assetTurnover,0.596,0.596,0.587,0.628,0.710,0.540,0.530,0.574,0.481,0.425,0.363,0.310,0.440,0.337,0.586,0.660,0.000,0.000,0.000
Per Share Items (USD),,,,,,,,,,,,,,,,,,,
revenuePerShare,64.92,64.92,52.41,43.40,41.89,30.15,24.77,19.32,13.76,9.476,6.316,4.703,3.146,1.590,1.533,0.816,0.363,0.000,0.000
operatingCashFlowPerShare,36.04,36.04,27.63,18.78,20.49,13.59,12.72,10.13,8.199,5.523,3.030,2.059,1.688,0.504,0.640,0.288,0.072,,
freeCashFlowPerShare,21.34,21.34,17.03,7.087,13.90,8.289,7.432,5.315,5.920,3.983,2.141,1.368,1.143,0.118,0.390,0.167,0.057,,
cashPerShare,30.71,30.71,25.41,15.16,17.05,21.73,19.22,14.23,14.12,10.10,6.495,4.225,4.576,3.008,1.615,0.738,,,
earningsPerShare,24.61,24.61,15.19,8.634,13.99,10.22,6.477,7.651,5.390,3.493,1.293,1.104,0.596,0.010,0.413,0.250,0.057,0.000,0.000
EBITDA Per Share,31.74,33.5,22.51,15.72,19.44,13.87,12.17,10.11,7.865,5.064,2.878,2.353,1.572,0.371,0.859,0.484,0.159,-0.026,-0.058
dividendPerShare,1.789,2.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
evPerShare,632.5,574.2,343.0,115.1,324.2,255.2,189.6,117.0,162.4,0.000,98.21,73.88,50.26,24.35,36.89,37.69,0.000,0.000,0.000
bookValuePerShare,64.47,72.07,59.51,46.79,44.36,45.00,35.41,29.11,25.17,20.29,15.58,13.62,6.183,3.673,2.024,0.893,0.000,0.000,0.000
pricePerShare,643.8,585.5,354.0,120.3,336.4,273.2,205.2,131.1,176.5,115.0,104.7,78.02,54.65,26.62,38.23,38.23,0.000,0.000,0.000
Dividend Ratios,,,,,,,,,,,,,,,,,,,
payoutRatio,8.13%,8.13%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,
dividendYield,0.28%,0.34%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,
effectiveTaxRate,11.75%,11.75%,17.56%,19.50%,16.74%,12.16%,25.50%,12.81%,22.63%,18.38%,40.46%,40.12%,45.53%,89.27%,41.00%,39.88%,9.84%,0.00%,-2.22%
shortTermCoverageRatios,47.03,47.03,0.000,0.000,0.000,0.000,0.000,58.55,71.22,0.000,42.78,47.87,17.67,4.416,0.000,0.000,0.000,0.000,0.000
capitalExpenditureCoverageRatio,2.451,2.451,2.608,1.606,3.107,2.563,2.405,2.104,3.597,3.587,3.408,2.980,3.100,1.305,2.556,2.382,4.697,0.000,0.000
ebitPerRevenue,0.422,0.422,0.347,0.288,0.396,0.380,0.410,0.446,0.497,0.450,0.347,0.401,0.371,0.106,0.473,0.523,0.337,-0.202,-0.810
none-2,0.489,0.516,0.429,0.362,0.464,0.46,0.491,0.523,0.571,0.534,0.456,0.5,0.499,0.233,0.56,0.593,0.438,-0.202,-0.81
daysOfSalesOutstanding,37.71,37.71,43.75,42.15,43.45,48.13,49.14,49.59,52.36,52.73,52.10,49.13,51.42,83.92,53.80,68.97,,,
daysOfInventoryOutstanding,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,
daysOfPayablesOutstanding,93.02,93.03,68.18,72.14,65.80,29.10,38.96,31.99,25.43,29.09,24.95,29.84,16.94,17.39,26.74,21.47,,,
cashConversionCycle,-55.32,-55.32,-24.43,-29.99,-22.35,19.02,10.18,17.60,26.93,23.64,27.15,19.29,34.48,66.52,27.06,47.50,0.000,0.000,0.000
cashConversionRatio,1.465,1.465,1.819,2.176,1.465,1.329,1.965,1.324,1.521,1.581,2.344,1.866,2.832,50.38,1.549,1.152,1.270,0.000,0.000
freeCashFlowToEarnings,0.867,0.867,1.121,0.821,0.994,0.811,1.148,0.695,1.098,1.140,1.656,1.240,1.918,11.78,0.943,0.668,1.000,0.000,0.000
