Period Ending:,"LTM 
  (Last Twelve Months) ","2024
  12-31 ","2023
  12-31 ","2022
  12-31 ","2021
  12-31 ","2020
  12-31 ","2019
  12-31 ","2018
  12-31 ","2017
  12-31 ","2016
  12-31 ","2015
  12-31 ","2014
  12-31 ","2013
  12-31 ","2012
  12-31 ","2011
  12-31 ","2010
  12-31 ","2009
  12-31 ","2008
  12-31 ","2007
  12-31 ","2006
  12-31 ","2005
  12-31 ","2004
  12-31 ","2003
  12-31 ","2002
  12-31 ","2001
  12-31 ","2000
  12-31 ","1999
  12-31 ","1998
  12-31 ","1997
  12-31 ","1996
  12-31 "
receivablesTurnover,11.5,11.50,11.00,12.13,14.28,15.73,13.48,13.96,13.51,16.31,18.93,15.86,15.62,18.16,18.70,21.55,24.81,23.18,21.04,26.84,30.99,34.78,39.86,35.03,0.000,0.000,0.000,0.000,0.000,0.000
payablesTurnover,3.504,3.563,3.586,3.629,3.462,3.216,3.508,3.644,3.234,3.487,3.513,3.813,3.580,3.452,4.017,3.874,3.973,4.893,4.863,5.426,5.598,5.432,5.805,5.741,6.609,5.748,3.771,4.613,4.007,4.237
inventoryTurnover,9.665,9.828,9.146,8.395,8.344,9.805,8.076,8.103,6.975,7.701,6.995,7.561,7.311,7.622,8.969,9.742,10.26,12.57,11.33,11.24,13.51,12.92,16.19,17.53,20.45,15.98,7.914,17.71,14.75,20.48
fixedAssetTurnover,1.94,1.940,2.077,2.033,2.171,2.562,2.867,3.769,3.640,4.671,4.900,5.245,6.800,8.653,10.88,14.17,19.00,22.44,27.32,23.44,24.40,28.13,23.47,16.43,11.49,7.538,5.163,20.47,15.89,15.75
assetTurnover,1.021,1.021,1.089,1.111,1.117,1.202,1.245,1.432,1.355,1.631,1.653,1.633,1.854,1.877,1.902,1.820,1.774,2.305,2.288,2.455,2.297,2.131,2.435,1.976,1.907,1.294,0.665,0.940,0.986,1.897
Per Share Items (USD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
revenuePerShare,60.46,60.91,55.78,50.44,46.43,38.61,28.39,23.91,18.53,14.34,11.46,9.631,8.146,7.049,5.307,3.826,2.830,2.265,1.796,1.287,1.030,0.852,0.666,0.520,0.429,0.394,0.251,0.103,0.028,0.004
operatingCashFlowPerShare,10.98,11.06,8.244,4.588,4.578,6.606,3.898,3.154,1.920,1.734,1.276,0.740,0.599,0.482,0.431,0.391,0.380,0.201,0.170,0.084,0.089,0.070,0.050,0.023,-0.016,-0.019,-0.014,0.005,0.001,0.000
freeCashFlowPerShare,3.116,3.139,3.127,-1.658,-1.455,2.592,2.192,1.776,0.675,1.024,0.785,0.211,0.222,0.046,0.231,0.281,0.337,0.161,0.143,0.058,0.064,0.059,0.044,0.018,-0.023,-0.038,-0.058,0.000,-0.001,-0.001
cashPerShare,9.591,9.663,8.422,6.873,9.491,8.440,5.569,4.235,3.228,2.741,2.121,1.885,1.362,1.321,1.057,0.980,0.735,0.441,0.377,0.243,0.243,0.219,0.177,0.172,0.137,0.157,0.108,0.063,0.024,0.002
earningsPerShare,5.615,5.657,2.953,-0.267,3.297,2.133,1.173,1.034,0.316,0.250,0.064,-0.026,0.030,-0.005,0.070,0.129,0.104,0.076,0.058,0.023,0.040,0.072,0.004,-0.020,-0.076,-0.201,-0.110,-0.021,-0.006,-0.002
EBITDA Per Share,10.02,6.55,8.299,5.316,5.861,4.808,3.677,2.85,1.623,1.298,0.912,0.533,0.437,0.327,0.215,0.221,0.174,0.133,0.109,0.071,0.067,0.064,0.044,0.019,-0.02,-0.065,-0.054,-0.01,-0.006,-0.002
dividendPerShare,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
evPerShare,198.3,222.2,156.7,90.88,168.7,162.8,93.22,74.27,59.19,36.35,33.19,14.99,19.15,11.66,7.749,8.092,6.024,2.168,4.418,1.880,2.297,2.220,2.700,1.075,0.702,0.927,3.929,2.676,0.242,0.000
bookValuePerShare,23.65,27.31,19.59,14.33,13.66,9.340,6.281,4.471,2.886,2.034,1.433,1.162,1.066,0.945,0.856,0.768,0.607,0.316,0.145,0.052,0.030,-0.028,-0.131,-0.179,-0.198,-0.138,0.041,0.023,0.005,0.001
pricePerShare,195.5,219.4,151.9,84.00,166.7,162.8,92.39,75.10,58.47,37.49,33.79,15.52,19.94,12.54,8.650,9.000,6.730,2.560,4.630,1.970,2.360,2.210,2.630,0.944,0.541,0.778,3.810,2.680,0.251,0.098
effectiveTaxRate,6.73%,-13.50%,18.96%,54.19%,12.56%,11.84%,16.99%,10.63%,20.20%,36.61%,60.59%,-150.45%,31.82%,78.68%,31.16%,23.51%,21.79%,27.41%,27.88%,49.60%,22.20%,-65.63%,10.26%,0.46%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
shortTermCoverageRatios,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,28.76,82.65,0.000,0.000,283.3,147.5,29.98,-23.63,-27.00,-20.11,38.41,2.333,0.000
capitalExpenditureCoverageRatio,1.396,1.396,1.611,0.735,0.759,1.646,2.284,2.288,1.542,2.441,2.598,1.398,1.590,1.104,2.155,3.570,8.828,5.096,6.272,3.250,3.593,6.356,8.529,4.450,-2.380,-0.968,-0.317,1.095,0.486,-1.417
ebitPerRevenue,0.108,0.108,0.064,0.024,0.053,0.059,0.052,0.053,0.023,0.031,0.021,0.002,0.010,0.011,0.018,0.041,0.046,0.044,0.044,0.036,0.051,0.064,0.051,0.016,-0.132,-0.313,-0.369,-0.179,-0.221,-0.409
none-2,0.166,0.108,0.149,0.105,0.126,0.125,0.13,0.119,0.088,0.09,0.08,0.055,0.054,0.046,0.04,0.058,0.061,0.059,0.061,0.055,0.065,0.075,0.066,0.037,-0.047,-0.166,-0.216,-0.094,-0.197,-0.39
daysOfSalesOutstanding,31.73,31.73,33.18,30.08,25.55,23.20,27.08,26.14,27.01,22.38,19.29,23.02,23.37,20.10,19.52,16.94,14.71,15.75,17.35,13.60,11.78,10.49,9.158,10.42,0.000,0.000,0.000,0.000,0.000,0.000
daysOfInventoryOutstanding,37.77,37.14,39.91,43.48,43.74,37.23,45.20,45.05,52.33,47.39,52.18,48.27,49.93,47.88,40.70,37.47,35.58,29.03,32.22,32.48,27.02,28.24,22.54,20.82,17.85,22.84,46.12,20.61,24.74,17.82
daysOfPayablesOutstanding,104.2,102.4,101.8,100.6,105.4,113.5,104.0,100.2,112.9,104.7,103.9,95.73,101.9,105.7,90.86,94.21,91.86,74.59,75.06,67.27,65.20,67.20,62.88,63.58,55.23,63.50,96.78,79.12,91.08,86.15
cashConversionCycle,-34.67,-33.57,-28.70,-27.03,-36.13,-53.06,-31.76,-28.99,-33.54,-34.88,-32.44,-24.44,-28.65,-37.76,-30.64,-39.80,-41.57,-29.81,-25.49,-21.18,-26.41,-28.46,-31.18,-32.34,-37.38,-40.66,-50.66,-58.51,-66.34,-68.32
cashConversionRatio,1.956,1.956,2.792,-17.18,1.389,3.097,3.324,3.050,6.078,6.935,20.00,-28.39,19.98,-107.2,6.185,3.034,3.651,2.631,2.952,3.695,2.201,0.964,11.20,-1.162,0.215,0.092,0.126,-0.249,-0.113,0.272
freeCashFlowToEarnings,0.555,0.555,1.059,6.206,-0.441,1.215,1.869,1.717,2.136,4.094,12.30,-8.087,7.412,-10.13,3.315,2.184,3.237,2.115,2.481,2.558,1.589,0.812,9.887,-0.901,0.306,0.188,0.525,-0.022,0.119,0.464
