Period Ending:,"LTM 
  (Last Twelve Months) ","2024
  11-03 ","2023
  10-29 ","2022
  10-30 ","2021
  10-31 ","2020
  11-01 ","2019
  11-03 ","2018
  11-04 ","2017
  10-31 ","2016
  10-31 ","2015
  10-31 ","2014
  10-31 ","2013
  10-31 ","2012
  10-31 ","2011
  10-31 ","2010
  10-31 ","2009
  10-31 ","2008
  10-31 ","2007
  10-31 ","2006
  10-31 "
operatingCashFlowSalesRatio,38.71%,38.71%,50.49%,50.41%,50.14%,50.49%,42.91%,42.59%,37.15%,25.76%,33.97%,27.52%,28.65%,29.31%,31.08%,24.37%,9.37%,12.24%,9.56%,24.45%
freeCashFlowMargin,37.64%,37.64%,49.23%,49.13%,48.53%,48.55%,41.00%,39.55%,31.08%,20.30%,25.28%,17.94%,19.29%,19.12%,26.28%,20.59%,5.46%,8.06%,7.14%,20.56%
Return,,,,,,,,,,,,,,,,,,,,
returnOnAssets,3.56%,3.56%,19.33%,15.69%,8.91%,3.90%,4.04%,24.46%,3.30%,-3.48%,12.88%,2.51%,16.16%,19.67%,22.57%,19.24%,-2.23%,4.44%,-8.15%,-11.32%
returnOnEquity,8.62%,8.71%,58.70%,50.62%,26.96%,12.38%,10.91%,45.99%,8.85%,-9.20%,28.94%,8.11%,19.13%,23.27%,27.52%,27.57%,-4.23%,10.64%,-22.94%,-29.81%
returnOnCapitalEmployed,9.75%,9.04%,24.76%,21.49%,12.29%,5.77%,5.68%,10.75%,4.80%,-0.87%,17.23%,4.63%,18.45%,23.13%,27.86%,29.27%,3.59%,10.37%,-6.44%,-4.79%
returnOnInvestedCapital,6.47%,6.00%,29.49%,24.45%,14.85%,7.85%,7.62%,32.81%,6.02%,-1.48%,20.23%,5.04%,26.73%,39.11%,45.35%,46.20%,6.78%,11.43%,-8.25%,-5.72%
Turnover Ratios,,,,,,,,,,,,,,,,,,,,
receivablesTurnover,11.68,11.68,11.36,11.22,13.25,10.40,6.934,6.270,7.204,6.071,6.697,5.459,6.029,6.585,7.057,7.217,7.770,8.895,7.005,8.091
payablesTurnover,12.36,11.47,9.198,11.13,9.766,12.41,11.83,12.47,8.260,5.789,5.301,4.645,4.759,4.927,5.380,5.692,6.000,6.000,6.005,6.812
inventoryTurnover,11.67,10.83,5.864,5.770,8.177,10.34,11.57,8.999,6.308,5.214,6.242,4.609,4.642,6.299,6.129,5.963,5.704,5.553,8.321,6.651
fixedAssetTurnover,20.46,20.46,13.69,14.94,11.69,9.521,8.810,7.912,6.786,5.277,4.674,3.687,3.812,4.700,7.392,7.448,5.621,5.682,5.229,3.628
assetTurnover,0.311,0.311,0.492,0.453,0.363,0.315,0.335,0.416,0.324,0.265,0.644,0.407,0.738,0.826,0.955,0.970,0.753,0.908,0.783,0.682
Per Share Items (USD),,,,,,,,,,,,,,,,,,,,
revenuePerShare,11.02,11.15,8.631,8.118,6.695,5.942,5.678,4.988,4.355,3.617,2.585,1.701,1.020,0.965,0.953,0.879,0.678,0.794,0.714,0.614
operatingCashFlowPerShare,4.266,4.317,4.358,4.092,3.357,3.000,2.436,2.124,1.618,0.932,0.878,0.468,0.292,0.283,0.296,0.214,0.063,0.097,0.068,0.150
freeCashFlowPerShare,4.149,4.199,4.249,3.988,3.249,2.885,2.328,1.972,1.354,0.734,0.653,0.305,0.197,0.184,0.251,0.181,0.037,0.064,0.051,0.126
cashPerShare,1.998,2.022,3.419,3.036,2.967,1.895,1.270,1.027,2.766,0.846,0.690,0.649,0.404,0.442,0.338,0.236,0.216,0.100,0.144,0.110
earningsPerShare,1.26,1.275,3.393,2.811,1.643,0.736,0.684,2.933,0.443,-0.475,0.517,0.105,0.223,0.230,0.225,0.174,-0.020,0.039,-0.074,-0.102
EBITDA Per Share,5.243,5.076,4.829,4.697,3.551,2.716,2.318,2.2,1.782,0.718,0.983,0.424,0.299,0.301,0.302,0.263,0.095,0.149,0.033,0.049
dividendPerShare,2.193,2.122,1.842,1.719,1.515,1.377,1.064,0.717,0.408,0.205,0.155,0.113,0.080,0.056,0.035,0.000,0.000,0.000,0.000,0.000
evPerShare,250,181.1,90.16,53.64,59.53,43.45,37.47,25.17,27.96,19.91,13.12,10.18,4.136,2.859,3.044,2.243,1.558,1.852,1.900,1.918
bookValuePerShare,14.62,14.64,5.780,5.552,6.095,5.946,6.274,6.377,5.009,5.162,1.786,1.292,1.168,0.987,0.819,0.632,0.475,0.364,0.324,0.342
pricePerShare,237.5,168.5,84.13,47.01,52.81,35.13,30.50,22.01,26.39,17.03,12.31,8.630,4.540,3.300,3.380,2.380,1.500,1.620,1.620,1.620
Dividend Ratios,,,,,,,,,,,,,,,,,,,,
payoutRatio,166.48%,166.48%,54.29%,61.17%,92.22%,186.96%,155.47%,24.46%,92.04%,-43.13%,29.91%,107.98%,35.87%,24.33%,15.58%,0.00%,0.00%,0.00%,0.00%,-0.40%
dividendYield,0.92%,1.26%,2.19%,3.66%,2.87%,3.92%,3.49%,3.26%,1.55%,1.20%,1.26%,1.31%,1.77%,1.69%,1.04%,0.00%,0.00%,0.00%,0.00%,0.03%
effectiveTaxRate,37.8%,37.80%,6.72%,7.55%,0.43%,-21.20%,-22.91%,-177.87%,1.81%,-57.99%,5.18%,9.65%,2.82%,3.76%,1.60%,-2.22%,-22.22%,5.00%,-3.77%,-2.02%
shortTermCoverageRatios,15.71,15.71,11.57,41.53,52.14,14.58,3.479,0.000,55.99,7.513,50.39,25.54,0.000,0.000,0.000,2.217,0.380,0.000,0.000,123.3
capitalExpenditureCoverageRatio,36.43,36.43,40.01,39.47,31.07,26.05,22.45,13.98,6.128,4.718,3.909,2.873,3.059,2.876,6.482,6.456,2.397,2.930,3.946,6.271
ebitPerRevenue,0.282,0.261,0.452,0.428,0.310,0.168,0.152,0.246,0.141,-0.031,0.239,0.103,0.219,0.246,0.250,0.223,0.032,0.094,-0.069,-0.059
none-2,0.476,0.455,0.56,0.579,0.53,0.457,0.408,0.441,0.409,0.199,0.38,0.249,0.293,0.312,0.317,0.299,0.14,0.188,0.046,0.079
daysOfSalesOutstanding,31.25,31.25,32.14,32.52,27.54,35.10,52.64,58.21,50.66,60.13,54.50,66.86,60.54,55.43,51.72,50.57,46.98,41.03,52.11,45.11
daysOfInventoryOutstanding,31.28,33.70,62.25,63.25,44.64,35.30,31.54,40.56,57.87,70.00,58.47,79.20,78.63,57.95,59.55,61.21,63.99,65.73,43.86,54.88
daysOfPayablesOutstanding,29.54,31.82,39.68,32.79,37.37,29.42,30.86,29.26,44.19,63.05,68.85,78.58,76.70,74.08,67.84,64.13,60.83,60.83,60.78,53.58
cashConversionCycle,32.99,33.13,54.70,62.98,34.80,40.97,53.33,69.51,64.34,67.08,44.13,67.47,62.47,39.30,43.43,47.66,50.14,45.93,35.19,46.41
cashConversionRatio,3.386,3.386,1.284,1.456,2.043,4.075,3.560,0.724,3.648,-1.961,1.699,4.468,1.308,1.231,1.315,1.229,-3.159,2.506,-0.918,-1.474
freeCashFlowToEarnings,3.293,3.293,1.252,1.419,1.978,3.918,3.401,0.673,3.052,-1.546,1.265,2.913,0.880,0.803,1.112,1.039,-1.841,1.651,-0.686,-1.239
