Period Ending:,"LTM 
  (Last Twelve Months) ","2024
  12-31 ","2023
  12-31 ","2022
  12-31 ","2021
  12-31 ","2020
  12-31 ","2019
  12-31 ","2018
  12-31 ","2017
  12-31 ","2016
  12-31 ","2015
  12-31 ","2014
  12-31 ","2013
  12-31 ","2012
  12-31 ","2011
  12-31 ","2010
  12-31 ","2009
  12-31 ","2008
  12-31 ","2007
  12-31 ","2006
  12-31 ","2005
  12-31 ","2004
  12-31 ","2003
  12-31 ","2002
  12-31 ","2001
  12-31 ","2000
  12-31 ","1999
  12-31 "
returnOnInvestedCapital,27.81%,27.81%,24.47%,22.96%,24.07%,14.61%,13.98%,13.35%,7.51%,13.88%,14.43%,13.87%,17.33%,17.55%,17.28%,23.90%,23.47%,23.01%,21.88%,19.99%,24.43%,15.43%,21.43%,71.97%,0.00%,-31.44%,0.00%
Turnover Ratios,,,,,,,,,,,,,,,,,,,,,,,,,,,
receivablesTurnover,6.684,6.687,6.409,7.026,6.555,5.816,5.887,6.456,5.926,6.343,5.391,6.084,6.371,5.844,6.141,5.862,7.388,8.249,7.190,8.020,8.923,8.341,9.477,7.090,0.000,0.000,0.000
payablesTurnover,18.28,18.32,17.79,24.61,18.38,15.16,12.93,13.60,14.53,17.22,14.59,14.98,10.54,10.26,22.43,21.57,40.97,48.43,23.57,20.01,22.25,44.61,13.55,14.00,0.000,0.000,0.000
inventoryTurnover,0,0.000,0.000,47.27,94.82,116.4,71.97,53.79,60.86,131.1,57.36,19.43,60.70,40.86,61.34,40.22,13.72,30.13,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
fixedAssetTurnover,1.895,1.896,2.071,2.226,2.330,1.882,1.913,2.291,2.616,2.637,2.584,2.764,3.620,4.233,3.947,3.779,4.882,4.164,4.108,4.427,6.383,8.417,7.787,8.158,0.000,0.000,0.000
assetTurnover,0.777,0.777,0.764,0.774,0.717,0.571,0.587,0.588,0.562,0.539,0.509,0.503,0.539,0.535,0.522,0.507,0.584,0.686,0.655,0.574,0.598,0.963,1.682,1.532,0.000,0.408,0.000
Per Share Items (USD),,,,,,,,,,,,,,,,,,,,,,,,,,,
revenuePerShare,28.61,28.12,24.34,21.65,19.29,13.41,11.68,9.842,7.998,6.563,5.475,4.882,4.493,3.834,2.936,2.300,1.870,1.736,1.335,0.880,0.556,0.292,0.107,0.032,0.006,0.000,0.000
operatingCashFlowPerShare,10.25,10.07,8.056,7.004,6.864,4.783,3.936,3.451,2.676,2.620,1.900,1.655,1.401,1.270,1.128,0.869,0.737,0.625,0.465,0.297,0.223,0.089,0.029,0.011,0.002,,
freeCashFlowPerShare,5.951,5.846,5.502,4.594,5.018,3.146,2.236,1.642,1.725,1.877,1.176,0.845,0.849,1.020,0.862,0.554,0.672,0.438,0.271,0.139,0.147,0.060,0.016,0.009,0.001,,
cashPerShare,7.823,7.685,8.782,8.709,10.46,10.04,8.640,7.851,7.349,6.276,5.335,4.763,4.410,3.674,3.456,2.744,1.936,1.262,1.144,0.933,0.728,0.195,0.024,0.011,,0.000,
earningsPerShare,8.188,8.044,5.843,4.591,5.694,2.957,2.479,2.211,0.914,1.416,1.194,1.046,0.956,0.820,0.754,0.667,0.515,0.337,0.338,0.255,0.133,0.037,0.008,0.007,0.001,0.000,0.000
EBITDA Per Share,10.1,9.029,7.62,6.761,6.827,4.033,3.322,2.63,2.387,2.171,1.783,1.589,1.453,1.283,1.053,0.924,0.778,0.648,0.487,0.342,0.209,0.072,0.029,0.016,0.001,-0.011,-0.004
dividendPerShare,0.569,0.592,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
evPerShare,169.2,183.4,133.2,81.79,136.4,79.43,59.40,44.69,45.61,33.63,33.95,22.15,24.02,14.45,13.03,12.39,0.000,0.000,0.000,0.000,0.000,4.625,2.486,2.500,0.000,0.000,0.000
bookValuePerShare,25.2,26.12,22.44,19.61,18.84,16.34,14.54,12.78,11.00,10.11,8.786,7.730,6.558,5.479,4.503,3.627,2.846,2.249,1.825,1.413,0.854,0.268,0.043,0.013,0.000,0.000,0.000
pricePerShare,174.9,189.3,139.7,88.23,144.8,87.63,66.97,52.25,52.67,39.62,38.90,26.53,28.04,17.70,16.16,14.86,15.51,7.700,17.30,11.52,10.38,4.820,2.510,2.510,0.000,0.000,0.000
Dividend Ratios,,,,,,,,,,,,,,,,,,,,,,,,,,,
payoutRatio,7.35%,7.35%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,
dividendYield,0.33%,0.31%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,
effectiveTaxRate,16.44%,16.44%,13.91%,15.92%,16.20%,16.25%,13.33%,11.96%,53.44%,19.35%,16.81%,19.30%,14.35%,17.96%,21.00%,21.22%,22.20%,27.79%,25.91%,23.28%,31.58%,38.62%,69.52%,46.11%,30.62%,0.00%,0.00%
shortTermCoverageRatios,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.069,11.19,6.220,6.648,11.96,3.198,0.000,0.000,0.000,0.000,0.000,513.7,85.58,35.69,0.000,0.000,0.000
capitalExpenditureCoverageRatio,2.385,2.385,3.155,2.906,3.720,2.923,2.315,1.908,2.813,3.529,2.625,2.042,2.536,5.078,4.236,2.758,11.50,3.330,2.404,1.882,2.934,3.063,2.237,4.174,2.385,0.000,0.000
ebitPerRevenue,0.321,0.321,0.274,0.265,0.306,0.226,0.211,0.201,0.236,0.263,0.258,0.250,0.257,0.276,0.310,0.354,0.351,0.304,0.306,0.335,0.329,0.201,0.234,0.424,0.127,-0.771,0.000
none-2,0.353,0.321,0.313,0.312,0.354,0.301,0.284,0.267,0.299,0.331,0.326,0.325,0.323,0.335,0.359,0.402,0.416,0.373,0.365,0.389,0.376,0.247,0.271,0.49,0.127,-0.771,-Infinity
daysOfSalesOutstanding,54.61,54.58,56.95,51.95,55.68,62.76,62.00,56.54,61.59,57.54,67.70,60.00,57.29,62.45,59.43,62.27,49.40,44.25,50.76,45.51,40.91,43.76,38.52,51.48,,0.000,0.000
daysOfInventoryOutstanding,0,0.000,0.000,7.722,3.849,3.136,5.072,6.785,5.998,2.784,6.363,18.78,6.013,8.933,5.950,9.075,26.59,12.11,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,
daysOfPayablesOutstanding,19.97,19.93,20.51,14.83,19.86,24.08,28.23,26.83,25.12,21.20,25.03,24.37,34.63,35.59,16.27,16.92,8.909,7.536,15.49,18.24,16.40,8.181,26.93,26.07,,0.000,
cashConversionCycle,34.64,34.65,36.44,44.84,39.67,41.82,38.84,36.49,42.47,39.13,49.04,54.41,28.68,35.79,49.11,54.42,67.09,48.82,35.28,27.27,24.50,35.58,11.59,25.41,0.000,0.000,0.000
cashConversionRatio,1.252,1.252,1.379,1.526,1.205,1.617,1.588,1.561,2.929,1.850,1.592,1.583,1.465,1.548,1.496,1.303,1.429,1.858,1.374,1.163,1.678,2.448,3.743,1.558,4.438,0.000,0.000
freeCashFlowToEarnings,0.727,0.727,0.942,1.001,0.881,1.064,0.902,0.743,1.888,1.326,0.985,0.808,0.888,1.243,1.143,0.830,1.305,1.300,0.802,0.545,1.106,1.649,2.070,1.185,2.577,0.000,0.000
