Period Ending:,"LTM 
  (Last Twelve Months) ","2024
  01-28 ","2023
  01-29 ","2022
  01-30 ","2021
  01-31 ","2020
  01-26 ","2019
  01-27 ","2018
  01-28 ","2017
  01-29 ","2016
  01-31 ","2015
  01-25 ","2014
  01-26 ","2013
  01-27 ","2012
  01-29 ","2011
  01-30 ","2010
  01-31 ","2009
  01-25 ","2008
  01-31 ","2007
  01-28 ","2006
  01-29 ","2005
  01-30 ","2004
  01-25 ","2003
  01-26 ","2002
  01-27 ","2001
  01-28 ","2000
  01-30 ","1999
  01-31 "
payablesTurnover,5.108,6.158,9.738,5.294,5.465,6.041,8.894,6.530,5.870,7.429,7.101,5.741,5.762,5.794,7.459,6.239,10.28,4.529,6.499,8.166,5.711,6.982,9.448,3.973,6.145,3.480,2.891
inventoryTurnover,3.572,3.147,2.252,3.623,3.439,4.239,2.886,4.889,3.586,5.261,4.312,4.803,4.894,5.705,6.177,6.500,4.185,6.216,4.986,5.749,4.312,5.525,9.193,3.975,4.941,6.008,3.608
fixedAssetTurnover,15.96,11.58,5.567,7.462,5.839,4.764,8.345,9.743,13.26,10.75,8.401,7.087,7.429,7.138,5.767,5.817,5.473,11.39,11.77,13.34,11.23,9.593,14.13,11.40,15.55,14.46,12.94
assetTurnover,1.18,0.927,0.655,0.609,0.579,0.631,0.881,0.864,0.702,0.680,0.650,0.570,0.667,0.720,0.788,0.928,1.022,1.093,1.147,1.240,1.234,1.303,1.181,0.911,0.723,1.851,1.336
Per Share Items (USD),,,,,,,,,,,,,,,,,,,,,,,,,,,
revenuePerShare,4.617,2.467,1.085,1.078,0.676,0.448,0.482,0.405,0.319,0.231,0.212,0.176,0.173,0.166,0.154,0.151,0.156,0.186,0.145,0.117,0.101,0.094,0.104,0.080,0.047,0.026,0.022
operatingCashFlowPerShare,2.403,1.138,0.227,0.365,0.236,0.195,0.154,0.146,0.077,0.054,0.041,0.036,0.033,0.038,0.029,0.022,0.011,0.058,0.028,0.022,0.007,0.003,0.014,0.009,0.004,0.001,0.000
freeCashFlowPerShare,2.305,1.094,0.153,0.326,0.190,0.175,0.129,0.121,0.069,0.050,0.035,0.025,0.026,0.032,0.025,0.019,-0.007,0.049,0.021,0.018,0.003,-0.004,0.011,0.000,0.002,0.000,-0.001
cashPerShare,1.569,1.052,0.535,0.850,0.468,0.447,0.305,0.297,0.314,0.232,0.209,0.199,0.150,0.130,0.108,0.079,0.057,0.082,0.053,0.047,0.034,0.031,0.056,0.046,0.043,0.004,0.007
earningsPerShare,2.571,1.205,0.176,0.391,0.176,0.115,0.170,0.127,0.077,0.028,0.029,0.019,0.023,0.024,0.011,-0.003,-0.001,0.036,0.021,0.015,0.005,0.004,0.005,0.010,0.006,0.003,0.001
EBITDA Per Share,2.965,1.397,0.232,0.449,0.228,0.132,0.167,0.142,0.098,0.043,0.044,0.031,0.035,0.035,0.019,0.004,0.005,0.044,0.027,0.022,0.011,0.009,0.011,0.017,0.009,0.004,0.001
dividendPerShare,0.028,0.016,0.016,0.016,0.016,0.016,0.015,0.014,0.012,0.010,0.008,0.008,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
evPerShare,107.8,61.87,19.10,24.11,13.08,5.667,3.227,5.957,2.566,0.570,0.369,0.246,0.166,0.241,0.491,0.337,0.143,0.000,0.000,0.000,0.157,0.169,0.045,0.539,0.189,0.073,0.034
bookValuePerShare,2.203,1.741,0.889,1.066,0.684,0.501,0.384,0.312,0.266,0.206,0.200,0.190,0.195,0.172,0.138,0.121,0.109,0.119,0.095,0.072,0.059,0.054,0.051,0.045,0.026,0.009,0.009
pricePerShare,108.9,62.47,19.16,24.49,13.24,6.010,3.450,6.170,2.750,0.732,0.515,0.387,0.315,0.370,0.598,0.414,0.199,0.615,0.503,0.381,0.191,0.200,0.084,0.567,0.213,0.077,0.040
Dividend Ratios,,,,,,,,,,,,,,,,,,,,,,,,,,,
payoutRatio,1.09%,1.33%,9.11%,4.09%,9.12%,13.95%,8.96%,11.19%,15.67%,34.69%,29.57%,41.21%,8.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
dividendYield,0.03%,0.03%,0.08%,0.07%,0.12%,0.27%,0.44%,0.23%,0.44%,1.34%,1.64%,2.00%,0.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
effectiveTaxRate,13.5%,12.00%,-4.47%,1.90%,1.75%,5.86%,-6.29%,4.66%,12.55%,17.36%,16.46%,13.77%,15.03%,12.41%,6.65%,17.39%,30.06%,11.50%,9.37%,16.00%,20.00%,14.14%,39.69%,30.00%,32.00%,32.21%,8.89%
shortTermCoverageRatios,0,22.47,4.513,0.000,5.828,0.000,0.000,233.5,2.022,0.832,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,154.4,12.37,46.69,41.27,115.5,8.903,-0.297
capitalExpenditureCoverageRatio,24.43,26.28,3.077,9.332,5.161,9.736,6.238,5.906,9.500,13.66,7.400,3.273,4.496,6.553,6.904,6.286,0.612,6.766,4.042,5.608,1.965,0.389,4.199,0.998,1.869,1.371,-0.241
ebitPerRevenue,0.627,0.541,0.157,0.373,0.272,0.261,0.325,0.330,0.280,0.149,0.162,0.120,0.151,0.162,0.072,-0.030,-0.021,0.204,0.148,0.143,0.057,0.049,0.075,0.177,0.177,0.145,-0.015
none-2,0.642,0.566,0.214,0.417,0.338,0.296,0.347,0.351,0.307,0.188,0.209,0.178,0.204,0.213,0.125,0.029,0.033,0.237,0.183,0.184,0.108,0.095,0.106,0.208,0.199,0.171,0.028
daysOfSalesOutstanding,57.01,59.91,51.79,63.06,53.17,55.40,44.36,47.53,43.63,36.79,36.93,37.68,38.74,30.69,35.93,41.14,33.94,59.37,61.69,48.89,53.80,39.37,29.53,39.27,52.12,65.50,49.66
daysOfInventoryOutstanding,102.2,116.0,162.1,100.7,106.1,86.10,126.5,74.65,101.8,69.38,84.66,76.00,74.59,63.98,59.09,56.15,87.23,58.72,73.21,63.49,84.65,66.07,39.70,91.82,73.86,60.75,101.2
daysOfPayablesOutstanding,71.46,59.27,37.48,68.95,66.79,60.42,41.04,55.89,62.18,49.13,51.40,63.58,63.34,63.00,48.94,58.50,35.50,80.60,56.16,44.70,63.91,52.28,38.63,91.88,59.40,104.9,126.3
cashConversionCycle,87.73,116.6,176.4,94.85,92.52,81.08,129.8,66.29,83.25,57.04,70.18,50.10,49.98,31.67,46.08,38.79,85.67,37.49,78.74,67.67,74.54,53.16,30.61,39.21,66.58,21.37,24.55
cashConversionRatio,0.935,0.944,1.291,0.934,1.344,1.703,0.904,1.149,1.004,1.914,1.436,1.898,1.465,1.565,2.670,-7.175,-8.301,1.592,1.308,1.475,1.317,0.668,2.919,0.909,0.680,0.417,-0.463
freeCashFlowToEarnings,0.897,0.908,0.872,0.834,1.084,1.528,0.759,0.955,0.898,1.774,1.242,1.318,1.139,1.326,2.283,-6.034,5.270,1.357,0.984,1.212,0.647,-1.047,2.224,-0.002,0.316,0.113,-2.390
