Period Ending:,"LTM 
  (Last Twelve Months) ","2024
  06-30 ","2023
  06-30 ","2022
  06-30 ","2021
  06-30 ","2020
  06-30 ","2019
  06-30 ","2018
  06-30 ","2017
  06-30 ","2016
  06-30 ","2015
  06-30 ","2014
  06-30 ","2013
  06-30 ","2012
  06-30 ","2011
  06-30 ","2010
  06-30 ","2009
  06-30 ","2008
  06-30 ","2007
  06-30 ","2006
  06-30 ","2005
  06-30 ","2004
  06-30 ","2003
  06-30 ","2002
  06-30 ","2001
  06-30 ","2000
  06-30 ","1999
  06-30 ","1998
  06-30 ","1997
  06-30 ","1996
  06-30 ","1995
  06-30 ","1994
  06-30 ","1993
  06-30 ","1992
  06-30 ","1991
  06-30 ","1990
  06-30 ","1989
  06-30 ","1988
  06-30 ","1987
  06-30 ","1986
  06-30 "
totalDebtToCapitalization,0.171,0.267,0.278,0.320,0.367,0.410,0.458,0.514,0.521,0.431,0.306,0.205,0.171,0.153,0.173,0.114,0.127,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.014,0.007,0.043,0.051,0.029,0.013
interestCoverage,56.51,37.29,44.98,40.42,29.80,20.44,15.99,12.83,13.06,20.98,23.25,46.50,62.39,57.27,92.07,159.6,535.9,210.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
cashFlowToDebtRatio,2.018,1.212,1.102,1.136,0.933,0.739,0.604,0.501,0.414,0.611,0.822,1.389,1.770,2.648,2.264,4.053,3.313,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,109.3,28.61,42.82,8.760,,,
Margins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grossProfitMargin,69.41%,69.76%,68.92%,68.40%,68.93%,67.78%,65.90%,65.25%,64.52%,64.04%,64.70%,68.82%,73.81%,76.22%,77.73%,80.16%,79.20%,80.80%,79.08%,82.72%,84.84%,81.77%,81.18%,81.70%,86.34%,86.92%,90.86%,90.59%,86.49%,91.83%,89.76%,88.69%,87.16%,87.16%,84.44%,82.56%,77.60%,77.66%,80.83%,82.23%
operatingProfitMargin,44.96%,44.64%,41.77%,42.06%,41.59%,37.03%,34.14%,31.77%,30.06%,28.61%,19.41%,31.97%,34.38%,29.52%,38.83%,38.57%,34.85%,36.86%,36.07%,37.20%,36.60%,24.53%,29.65%,41.99%,46.33%,47.94%,50.86%,43.97%,40.81%,35.50%,34.33%,37.13%,35.33%,36.10%,35.25%,33.23%,30.14%,31.72%,36.69%,30.84%
pretaxProfitMargin,43.4%,43.97%,42.14%,42.22%,42.30%,37.08%,34.72%,33.05%,30.96%,28.13%,19.78%,32.04%,34.75%,30.20%,40.13%,40.03%,33.92%,39.41%,39.32%,41.24%,41.79%,33.11%,34.34%,40.59%,45.56%,62.18%,60.22%,46.63%,44.52%,38.97%,36.50%,37.04%,37.33%,37.75%,36.38%,34.70%,31.21%,31.09%,35.10%,33.42%
netProfitMargin,35.43%,35.96%,34.15%,36.69%,36.45%,30.96%,31.18%,15.02%,26.39%,22.53%,13.03%,25.42%,28.08%,23.03%,33.10%,30.02%,24.93%,29.26%,27.51%,28.45%,30.80%,22.17%,23.40%,27.60%,29.04%,41.04%,39.42%,29.42%,28.94%,25.31%,24.47%,24.65%,25.39%,25.67%,25.10%,23.59%,21.22%,20.97%,20.79%,19.90%
operatingCashFlowSalesRatio,47.97%,48.36%,41.33%,44.91%,45.65%,42.43%,41.47%,39.76%,40.91%,36.56%,31.08%,37.12%,37.04%,42.90%,38.59%,38.53%,32.58%,35.77%,34.81%,32.53%,41.73%,39.71%,49.08%,51.15%,53.06%,60.82%,50.79%,45.08%,39.28%,42.89%,33.52%,34.27%,28.62%,32.88%,30.26%,23.52%,27.69%,,,
freeCashFlowMargin,26.75%,30.22%,28.07%,32.86%,33.39%,31.63%,30.40%,29.22%,32.49%,27.41%,24.72%,30.80%,31.57%,39.77%,35.23%,35.36%,27.24%,30.50%,30.38%,28.96%,39.69%,36.70%,46.31%,48.44%,48.70%,56.99%,47.84%,40.78%,35.10%,37.19%,25.18%,28.29%,22.33%,21.40%,15.92%,10.16%,16.57%,0.00%,0.00%,0.00%
Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
returnOnAssets,17.37%,17.21%,17.56%,19.94%,18.36%,14.70%,13.69%,6.40%,10.18%,10.62%,6.99%,12.81%,15.35%,14.00%,21.30%,21.79%,18.71%,24.29%,22.26%,18.10%,17.30%,8.84%,9.46%,11.57%,12.40%,18.07%,20.95%,20.08%,24.01%,21.75%,20.15%,21.37%,25.05%,26.82%,28.14%,25.26%,23.66%,25.13%,24.98%,23.02%
returnOnEquity,33.36%,32.83%,35.09%,43.68%,43.15%,37.43%,38.35%,20.03%,29.06%,28.53%,15.23%,24.59%,27.69%,25.58%,40.55%,40.63%,36.83%,48.73%,45.23%,31.42%,25.47%,10.92%,12.34%,15.00%,15.53%,22.77%,27.38%,27.00%,32.05%,31.77%,27.25%,25.75%,29.40%,32.29%,34.25%,30.39%,30.35%,33.00%,30.07%,28.21%
returnOnCapitalEmployed,27.7%,28.29%,28.76%,30.91%,28.52%,23.13%,19.78%,17.50%,14.92%,19.45%,14.55%,21.90%,25.49%,24.57%,33.98%,40.19%,40.04%,51.91%,46.78%,34.93%,27.00%,11.67%,14.55%,21.69%,23.44%,25.96%,35.42%,40.36%,45.20%,40.14%,34.76%,38.79%,40.90%,45.42%,48.10%,42.81%,43.11%,49.92%,52.61%,43.13%
returnOnInvestedCapital,23.58%,24.28%,26.26%,28.32%,26.09%,20.53%,18.75%,8.45%,13.24%,16.37%,10.04%,18.65%,21.37%,20.32%,31.85%,33.19%,33.43%,50.77%,38.74%,28.10%,21.86%,9.59%,10.99%,15.61%,17.04%,19.34%,28.12%,33.10%,44.78%,39.46%,35.03%,38.64%,40.47%,48.32%,48.02%,39.78%,44.57%,65.76%,69.14%,94.19%
Turnover Ratios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
receivablesTurnover,5.433,4.306,4.353,4.480,4.418,4.468,4.262,4.168,4.305,4.987,5.226,4.443,4.452,4.672,4.667,4.801,5.221,4.446,4.509,4.753,5.542,6.254,6.195,5.530,6.891,7.063,8.796,10.45,12.18,13.57,10.22,9.787,11.10,3.349,7.577,6.538,7.226,6.312,6.278,5.725
payablesTurnover,3.542,3.369,3.640,3.297,3.445,3.677,4.574,4.451,4.636,4.752,5.013,3.643,4.222,4.199,3.711,3.080,3.657,2.875,3.293,2.630,2.891,3.911,3.852,4.297,2.908,2.772,2.064,1.892,2.237,0.876,1.080,1.623,2.017,1.889,3.339,4.047,4.286,0.000,0.000,0.000
inventoryTurnover,88.1,59.48,26.35,16.74,19.81,24.32,20.80,14.41,15.71,14.56,11.38,10.18,10.52,15.42,11.35,16.75,16.95,11.77,9.488,5.176,12.28,15.95,9.467,7.713,1.773,0.000,0.000,0.000,0.000,0.000,6.909,5.157,3.795,4.122,6.089,3.712,4.762,2.467,3.994,4.388
fixedAssetTurnover,1.38,1.586,1.927,2.265,2.374,2.703,2.869,3.053,3.188,4.966,6.353,6.674,7.792,8.916,8.569,8.189,7.755,9.680,11.75,14.55,16.96,15.84,14.48,12.51,10.96,12.06,12.26,10.14,8.147,6.539,4.981,4.999,4.329,3.599,3.477,3.637,4.042,4.541,4.941,10.13
assetTurnover,0.49,0.479,0.514,0.543,0.504,0.475,0.439,0.426,0.386,0.471,0.536,0.504,0.547,0.608,0.643,0.726,0.750,0.830,0.809,0.636,0.562,0.399,0.405,0.419,0.427,0.440,0.531,0.683,0.830,0.859,0.823,0.867,0.986,1.045,1.121,1.071,1.115,1.198,1.202,1.157
Per Share Items (USD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
revenuePerShare,35.21,32.99,28.46,26.45,22.27,18.79,16.40,14.33,12.47,11.50,11.44,10.46,9.295,8.781,8.238,7.090,6.533,6.477,5.248,4.242,3.671,3.410,3.002,2.624,2.368,2.221,1.964,1.569,1.249,0.928,0.592,0.476,0.394,0.312,0.219,0.148,0.118,0.000,0.000,0.000
operatingCashFlowPerShare,16.89,15.95,11.76,11.88,10.17,7.973,6.801,5.699,5.100,4.205,3.556,3.884,3.443,3.767,3.180,2.732,2.128,2.317,1.827,1.380,1.532,1.354,1.473,1.342,1.257,1.351,0.997,0.707,0.491,0.398,0.198,0.163,0.113,0.102,0.066,0.035,0.033,,,
freeCashFlowPerShare,9.419,9.968,7.988,8.691,7.436,5.944,4.986,4.189,4.051,3.152,2.829,3.223,2.934,3.492,2.902,2.507,1.780,1.976,1.594,1.229,1.457,1.251,1.390,1.271,1.153,1.266,0.939,0.640,0.439,0.345,0.149,0.135,0.088,0.067,0.035,0.015,0.020,,,
cashPerShare,9.624,10.16,14.94,13.97,17.26,17.94,17.44,17.36,17.16,14.26,11.79,10.26,9.124,7.508,6.216,4.174,3.516,2.537,2.403,3.273,3.483,5.609,4.574,3.575,2.958,2.303,1.714,0.395,0.388,0.278,0.196,0.151,0.106,0.089,0.050,0.031,0.028,0.030,0.018,0.014
earningsPerShare,12.47,11.86,9.718,9.704,8.119,5.819,5.114,2.152,3.291,2.592,1.491,2.660,2.611,2.022,2.727,2.129,1.629,1.895,1.444,1.207,1.131,0.756,0.702,0.724,0.688,0.912,0.774,0.462,0.362,0.235,0.145,0.117,0.100,0.080,0.055,0.035,0.025,0.000,0.000,0.000
EBITDA Per Share,19.41,17.73,13.75,13.05,10.71,8.575,7.111,5.846,4.761,4.041,2.949,3.973,3.644,2.945,3.525,3.038,2.563,2.608,2.04,1.665,1.422,0.946,1.02,1.202,1.241,1.186,1.091,0.795,0.568,0.381,0.23,0.201,0.155,0.125,0.086,0.055,0.039,0.033,0.019,0.009
dividendPerShare,2.829,2.930,2.659,2.419,2.189,1.989,1.800,1.649,1.529,1.389,1.209,1.070,0.890,0.760,0.610,0.519,0.499,0.430,0.391,0.340,3.332,0.160,0.080,0.000,0.000,0.001,0.003,0.003,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
evPerShare,376.6,459.7,336.3,253.3,264.5,196.4,129.5,92.62,64.11,43.79,36.69,34.24,27.18,24.50,21.19,19.51,20.90,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.102,1.443,1.030,0.344,0.000,0.000,0.000
bookValuePerShare,37.39,36.13,27.70,22.22,18.81,15.55,13.34,10.74,11.32,9.085,9.794,10.82,9.426,7.904,6.724,5.239,4.422,3.890,3.192,3.842,4.439,6.926,5.691,4.827,4.427,4.003,2.828,1.709,1.128,0.740,0.532,0.456,0.340,0.248,0.161,0.115,0.082,0.000,0.000,0.000
pricePerShare,377.9,456.7,340.5,256.8,270.9,203.5,135.7,98.61,68.93,51.17,44.15,41.70,34.36,30.59,26.00,23.01,23.77,27.51,29.47,23.30,24.84,28.56,25.64,26.33,36.50,40.00,45.09,27.09,15.80,7.640,5.650,3.230,2.750,2.190,1.490,1.060,0.368,0.000,0.000,0.000
Dividend Ratios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
payoutRatio,24.68%,24.70%,27.36%,24.93%,26.96%,34.18%,35.20%,76.63%,46.47%,53.59%,81.05%,40.22%,34.10%,37.61%,22.38%,24.40%,30.67%,22.71%,27.05%,28.14%,294.70%,21.17%,11.38%,0.00%,0.00%,0.14%,0.36%,0.62%,0.43%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
dividendYield,0.75%,0.64%,0.78%,0.94%,0.81%,0.98%,1.33%,1.67%,2.22%,2.71%,2.74%,2.57%,2.59%,2.49%,2.35%,2.26%,2.10%,1.56%,1.33%,1.46%,13.41%,0.56%,0.31%,0.00%,0.00%,0.00%,0.01%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
effectiveTaxRate,18.36%,18.23%,18.98%,13.11%,13.83%,16.51%,10.18%,54.57%,14.76%,19.89%,34.12%,20.65%,19.18%,23.75%,17.53%,25.00%,26.50%,25.75%,30.03%,31.01%,26.31%,33.03%,31.87%,32.00%,33.01%,34.00%,34.53%,36.91%,35.00%,35.04%,32.95%,33.45%,31.98%,32.00%,31.00%,32.00%,32.02%,32.55%,40.77%,40.45%
shortTermCoverageRatios,23.93,13.26,16.69,32.39,9.507,16.18,9.461,10.98,3.903,2.583,3.886,16.12,9.614,25.69,0.000,24.07,9.518,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,109.3,28.61,42.82,8.760,,,0.000
capitalExpenditureCoverageRatio,2.261,2.665,3.116,3.727,3.721,3.929,3.748,3.773,4.860,3.994,4.892,5.876,6.773,13.72,11.46,12.18,6.104,6.792,7.860,9.128,20.45,13.19,17.73,18.84,12.17,15.88,17.20,10.49,9.397,7.528,4.020,5.730,4.551,2.865,2.110,1.760,2.489,0.000,0.000,0.000
ebitPerRevenue,0.45,0.446,0.418,0.421,0.416,0.370,0.341,0.318,0.301,0.286,0.194,0.320,0.344,0.295,0.388,0.386,0.348,0.369,0.361,0.372,0.366,0.245,0.297,0.420,0.463,0.479,0.509,0.440,0.408,0.355,0.343,0.371,0.353,0.361,0.353,0.332,0.301,0.317,0.367,0.308
none-2,0.551,0.537,0.483,0.493,0.481,0.456,0.434,0.408,0.382,0.351,0.258,0.38,0.392,0.335,0.428,0.428,0.392,0.403,0.389,0.392,0.387,0.277,0.34,0.458,0.524,0.534,0.555,0.507,0.455,0.41,0.389,0.422,0.394,0.402,0.394,0.371,0.332,0.344,0.389,0.338
daysOfSalesOutstanding,67.18,84.76,83.86,81.48,82.61,81.70,85.63,87.58,84.78,73.18,69.85,82.15,81.98,78.13,78.21,76.02,69.91,82.09,80.95,76.79,65.87,58.36,58.92,66.00,52.97,51.67,41.50,34.92,29.97,26.90,35.72,37.29,32.87,109.0,48.17,55.83,50.51,57.83,58.14,63.76
daysOfInventoryOutstanding,4.143,6.136,13.85,21.80,18.42,15.01,17.55,25.33,23.24,25.06,32.06,35.86,34.70,23.67,32.15,21.79,21.53,31.00,38.47,70.52,29.72,22.88,38.55,47.32,205.9,0.000,0.000,0.000,0.000,0.000,52.83,70.78,96.17,88.54,59.94,98.32,76.65,147.9,91.39,83.19
daysOfPayablesOutstanding,103,108.3,100.3,110.7,106.0,99.25,79.80,82.01,78.73,76.81,72.82,100.2,86.45,86.93,98.34,118.5,99.82,127.0,110.8,138.8,126.2,93.32,94.76,84.94,125.5,131.7,176.8,192.9,163.2,416.6,338.0,224.8,181.0,193.3,109.3,90.19,85.17,0.000,0.000,0.000
cashConversionCycle,-31.71,-17.43,-2.565,-7.412,-4.930,-2.546,23.38,30.91,29.29,21.44,29.09,17.83,30.24,14.87,12.01,-20.71,-8.379,-13.86,8.586,8.512,-30.66,-12.07,2.718,28.38,133.4,-80.00,-135.3,-158.0,-133.2,-389.7,-249.4,-116.8,-51.94,4.255,-1.205,63.96,42.00,205.8,149.5,147.0
cashConversionRatio,1.354,1.345,1.210,1.224,1.252,1.370,1.330,2.648,1.550,1.623,2.385,1.460,1.319,1.863,1.166,1.283,1.307,1.222,1.265,1.143,1.355,1.791,2.098,1.853,1.827,1.482,1.288,1.532,1.358,1.694,1.370,1.390,1.127,1.281,1.206,0.997,1.305,0.000,0.000,0.000
freeCashFlowToEarnings,0.755,0.840,0.822,0.896,0.916,1.022,0.975,1.946,1.231,1.216,1.897,1.212,1.124,1.727,1.064,1.178,1.093,1.042,1.104,1.018,1.289,1.655,1.979,1.755,1.677,1.389,1.213,1.386,1.213,1.469,1.029,1.147,0.879,0.834,0.634,0.431,0.781,0.000,0.000,0.000
